token,sentence_id,predicted_label,gold_label
p,1,other,other
:,1,other,other
i,1,Subject,Subject
have,1,Predicate,Predicate
been,1,Predicate,Predicate
facing,1,Predicate,Predicate
some,1,Object,Object
discomfort,1,Object,Object
in,1,Object,Object
my,1,Object,Object
feet,1,Object,Object
recently,1,Object,Object
.,1,other,other
is,2,Predicate,Predicate
this,2,Subject,Subject
connected,2,Predicate,Predicate
to,2,Predicate,Predicate
my,2,Object,Object
diabetes,2,Object,Object
?,2,other,other
a,3,other,other
:,3,other,other
it,3,Subject,other
could,3,Predicate,other
be,3,Predicate,other
",",3,other,other
abdullah,3,other,other
.,3,other,other
diabetes,4,Subject,Subject
can,4,Predicate,Predicate
cause,4,Predicate,Predicate
nerve,4,Object,Object
damage,4,Object,Object
known,4,Object,Object
as,4,Object,Object
peripheral,4,Object,Object
ne,4,Object,Object
",",4,other,other
which,4,Object,other
often,4,Predicate,other
affects,4,Predicate,other
the,4,Object,other
feet,4,Object,other
.,4,other,other
diabetes,5,Subject,other
can,5,Predicate,other
cause,5,Predicate,other
nerve,5,other,other
damage,5,Object,other
known,5,other,other
as,5,other,other
peripheral,5,Object,Subject
ne,5,other,Subject
",",5,other,other
which,5,other,other
often,5,Predicate,Predicate
affects,5,Predicate,Predicate
the,5,Object,Object
feet,5,Object,Object
.,5,other,other
this,6,Subject,Subject
can,6,Predicate,Predicate
lead,6,Predicate,Predicate
to,6,Predicate,Predicate
a,6,Object,Object
sense,6,Object,Object
of,6,Object,Object
discomfort,6,Object,Object
",",6,other,other
numb,6,Object,Object
or,6,other,Object
pain,6,Object,Object
.,6,other,other
do,7,Predicate,other
you,7,Subject,other
notice,7,Predicate,other
any,7,Object,other
specific,7,Object,other
pattern,7,Object,other
?,7,other,other
p,8,other,other
:,8,other,other
i,8,Subject,Subject
mostly,8,Predicate,Predicate
feel,8,Predicate,Predicate
it,8,Object,Object
at,8,Object,Object
night,8,Object,Object
.,8,other,other
also,9,other,other
",",9,other,other
my,9,Subject,Subject
feet,9,Subject,Subject
get,9,Predicate,Predicate
quite,9,Predicate,Object
cold,9,Object,Object
sometimes,9,Object,Object
.,9,other,other
a,10,other,other
:,10,other,other
that,10,Subject,Subject
is,10,Predicate,Predicate
a,10,Object,Object
common,10,Object,Object
sy,10,Object,Object
of,10,Object,Object
peripheral,10,Object,Object
ne,10,Object,Object
.,10,other,other
you,11,Subject,Subject
should,11,Predicate,Predicate
bring,11,Predicate,Predicate
this,11,Object,Predicate
up,11,Predicate,Predicate
with,11,Predicate,Predicate
your,11,Object,Object
doctor,11,Object,Object
as,11,other,Object
soon,11,other,Object
as,11,other,Object
possible,11,Object,Object
.,11,other,other
in,12,other,other
the,12,other,other
meantime,12,other,other
",",12,other,other
make,12,Predicate,Predicate
sure,12,Predicate,Predicate
you,12,Subject,Subject
check,12,Predicate,Predicate
your,12,Object,Object
feet,12,Object,Object
daily,12,Object,Object
for,12,Predicate,Object
any,12,Object,Object
cuts,12,Object,Object
or,12,other,Object
injuries,12,Object,Object
that,12,Object,Object
you,12,Subject,Object
may,12,Predicate,Object
not,12,Predicate,Object
feel,12,Predicate,Object
due,12,Predicate,Object
to,12,Predicate,Object
the,12,Object,Object
numb,12,Object,Object
.,12,other,other
p,13,other,other
:,13,other,other
i,13,other,other
see,13,other,other
.,13,other,other
can,14,Predicate,other
this,14,Subject,other
condition,14,Subject,other
worse,14,Predicate,Predicate
with,14,Predicate,other
time,14,Object,other
?,14,other,other
a,15,other,other
:,15,other,other
if,15,other,Object
not,15,other,Object
managed,15,other,Object
properly,15,other,Object
",",15,other,other
