,sentence_id,token_id,sentence,token,spo_label
0,1,1,P : I have been facing some discomfort in my feet recently .,P,other
1,1,2,P : I have been facing some discomfort in my feet recently .,:,other
2,1,3,P : I have been facing some discomfort in my feet recently .,I,Subject
3,1,4,P : I have been facing some discomfort in my feet recently .,have,Predicate
4,1,5,P : I have been facing some discomfort in my feet recently .,been,Predicate
5,1,6,P : I have been facing some discomfort in my feet recently .,facing,Predicate
6,1,7,P : I have been facing some discomfort in my feet recently .,some,Object
7,1,8,P : I have been facing some discomfort in my feet recently .,discomfort,Object
8,1,9,P : I have been facing some discomfort in my feet recently .,in,other
9,1,10,P : I have been facing some discomfort in my feet recently .,my,Object
10,1,11,P : I have been facing some discomfort in my feet recently .,feet,Object
11,1,12,P : I have been facing some discomfort in my feet recently .,recently,other
12,1,13,P : I have been facing some discomfort in my feet recently .,.,other
13,2,1,Is this connected to my diabetes ?,Is,Predicate
14,2,2,Is this connected to my diabetes ?,this,Subject
15,2,3,Is this connected to my diabetes ?,connected,Subject
16,2,4,Is this connected to my diabetes ?,to,Subject
17,2,5,Is this connected to my diabetes ?,my,Object
18,2,6,Is this connected to my diabetes ?,diabetes,Object
19,2,7,Is this connected to my diabetes ?,?,other
20,3,1,"A : It could be , Abdullah .",A,other
21,3,2,"A : It could be , Abdullah .",:,other
22,3,3,"A : It could be , Abdullah .",It,Subject
23,3,4,"A : It could be , Abdullah .",could,Predicate
24,3,5,"A : It could be , Abdullah .",be,Predicate
25,3,6,"A : It could be , Abdullah .",",",other
26,3,7,"A : It could be , Abdullah .",Abdullah,other
27,3,8,"A : It could be , Abdullah .",.,other
28,4,1,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",Diabetes,Subject
29,4,2,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",can,Predicate
30,4,3,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",cause,Predicate
31,4,4,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",nerve,Object
32,4,5,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",damage,Object
33,4,6,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",known,Object
34,4,7,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",as,Object
35,4,8,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",peripheral,Object
36,4,9,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",neuropathy,Object
37,4,10,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",",",other
38,4,11,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",which,Subject
39,4,12,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",often,other
40,4,13,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",affects,other
41,4,14,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",the,Object
42,4,15,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",feet,Object
43,4,16,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",.,other
44,5,1,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",Diabetes,Subject
45,5,2,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",can,Predicate
46,5,3,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",cause,Predicate
47,5,4,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",nerve,Object
48,5,5,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",damage,Object
49,5,6,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",known,Object
50,5,7,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",as,Object
51,5,8,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",peripheral,Object
52,5,9,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",neuropathy,Object
53,5,10,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",",",other
54,5,11,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",which,Subject
55,5,12,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",often,other
56,5,13,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",affects,other
57,5,14,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",the,Object
58,5,15,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",feet,Object
59,5,16,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",.,other
