Unnamed: 0,sentence_id,token_id,sentence,token,spo_label,triple
0,1,1,P : I have been facing some discomfort in my feet recently .,P,other,"('I', 'have been facing', 'discomfort feet')"
1,1,2,P : I have been facing some discomfort in my feet recently .,:,other,"('I', 'have been facing', 'discomfort feet')"
2,1,3,P : I have been facing some discomfort in my feet recently .,I,Subject,"('I', 'have been facing', 'discomfort feet')"
3,1,4,P : I have been facing some discomfort in my feet recently .,have,Predicate,"('I', 'have been facing', 'discomfort feet')"
4,1,5,P : I have been facing some discomfort in my feet recently .,been,Predicate,"('I', 'have been facing', 'discomfort feet')"
5,1,6,P : I have been facing some discomfort in my feet recently .,facing,Predicate,"('I', 'have been facing', 'discomfort feet')"
6,1,7,P : I have been facing some discomfort in my feet recently .,some,other,"('I', 'have been facing', 'discomfort feet')"
7,1,8,P : I have been facing some discomfort in my feet recently .,discomfort,Object,"('I', 'have been facing', 'discomfort feet')"
8,1,9,P : I have been facing some discomfort in my feet recently .,in,other,"('I', 'have been facing', 'discomfort feet')"
9,1,10,P : I have been facing some discomfort in my feet recently .,my,other,"('I', 'have been facing', 'discomfort feet')"
10,1,11,P : I have been facing some discomfort in my feet recently .,feet,Object,"('I', 'have been facing', 'discomfort feet')"
11,1,12,P : I have been facing some discomfort in my feet recently .,recently,other,"('I', 'have been facing', 'discomfort feet')"
12,1,13,P : I have been facing some discomfort in my feet recently .,.,other,"('I', 'have been facing', 'discomfort feet')"
13,2,1,Is this connected to my diabetes ?,Is,Predicate,"('this', 'Is', 'diabetes')"
14,2,2,Is this connected to my diabetes ?,this,Subject,"('this', 'Is', 'diabetes')"
15,2,3,Is this connected to my diabetes ?,connected,other,"('this', 'Is', 'diabetes')"
16,2,4,Is this connected to my diabetes ?,to,other,"('this', 'Is', 'diabetes')"
17,2,5,Is this connected to my diabetes ?,my,other,"('this', 'Is', 'diabetes')"
18,2,6,Is this connected to my diabetes ?,diabetes,Object,"('this', 'Is', 'diabetes')"
19,2,7,Is this connected to my diabetes ?,?,other,"('this', 'Is', 'diabetes')"
20,3,1,"A : It could be , Abdullah .",A,other,"('It', 'could be', '')"
21,3,2,"A : It could be , Abdullah .",:,other,"('It', 'could be', '')"
22,3,3,"A : It could be , Abdullah .",It,Subject,"('It', 'could be', '')"
23,3,4,"A : It could be , Abdullah .",could,Predicate,"('It', 'could be', '')"
24,3,5,"A : It could be , Abdullah .",be,Predicate,"('It', 'could be', '')"
